name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,"Ano do ciclo eleitoral de dois anos, identificado pelo ano par em que termina",2004(2)2026,no,,year,no,"Coluna de partição. Identifica o arquivo em massa da FEC publicado para aquele ciclo. Um ciclo cobre dois anos e é rotulado pelo ano par em que termina, de modo que year=2026 abrange as transações de 2025 e 2026.",,"Year of the two-year election cycle, identified by the even year in which it ends","Año del ciclo electoral de dos años, identificado por el año par en que termina"
committee_id,STRING,Identificador de nove caracteres do comitê declarante atribuído pela FEC,,no,,,no,,CMTE_ID,Nine-character identifier of the filing committee assigned by the FEC,Identificador de nueve caracteres del comité declarante asignado por la FEC
back_reference_transaction_id,STRING,Identificador da transação relacionada dentro do mesmo relatório,,no,,,no,,BACK_REF_TRAN_ID,Identifier of the related transaction within the same report,Identificador de la transacción relacionada dentro del mismo informe
transaction_id,STRING,"Identificador da transação, único por comitê e por relatório",,no,,,no,,TRAN_ID,"Transaction identifier, unique per committee and per report","Identificador de la transacción, único por comité y por informe"
sub_id,STRING,"Número do registro na FEC, único em toda a base",,no,,,no,"Identificador; aritmética sobre ele não tem significado, por isso STRING.",SUB_ID,"FEC record number, unique across the entire database","Número de registro en la FEC, único en toda la base"
file_number,STRING,Identificador do relatório em que a transação foi informada,,no,,,no,,FILE_NUM,Identifier of the report in which the transaction was filed,Identificador del informe en el que se declaró la transacción
image_number,STRING,Número da imagem digitalizada do documento na FEC,,no,,,no,,IMAGE_NUM,Number of the scanned document image at the FEC,Número de la imagen escaneada del documento en la FEC
amendment_indicator,STRING,"Indica se o relatório é novo, uma emenda ou uma rescisão",,yes,,,no,,AMNDT_IND,"Indicates whether the report is new, an amendment or a termination","Indica si el informe es nuevo, una enmienda o una rescisión"
report_year,INT64,Ano do relatório em que a despesa foi informada,,no,,year,no,,RPT_YR,Year of the report in which the disbursement was filed,Año del informe en que se declaró el gasto
report_type,STRING,Tipo de relatório apresentado à FEC,,yes,,,no,,RPT_TP,Type of report filed with the FEC,Tipo de informe presentado ante la FEC
line_number,STRING,Número da linha do formulário da FEC em que a despesa foi informada,,no,,,no,"Rótulo de linha do formulário, não uma quantidade.",LINE_NUM,Line number of the FEC form on which the disbursement was reported,Número de línea del formulario de la FEC en que se declaró el gasto
form_type,STRING,Código do formulário da FEC utilizado,,no,,,no,,FORM_TP_CD,Code of the FEC form used,Código del formulario de la FEC utilizado
schedule_type,STRING,Código do anexo do formulário; SB corresponde ao Schedule B de despesas,,no,,,no,,SCHED_TP_CD,"Code of the form schedule; SB is Schedule B, operating expenditures",Código del anexo del formulario; SB corresponde al Schedule B de gastos
