name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados. Assume valores como state2002, state2022, prahran_by2025 e nepean_by2026.",,Identifier of the electoral event,Identificador del evento electoral
contest_id,STRING,Identificador da disputa por uma cadeira dentro do evento eleitoral,,no,,,no,"Identifica uma única disputa por cadeira dentro do evento eleitoral. É o slug do distrito, da região ou da província, como em state2022-albert_park.",,Identifier of the contest for a single seat within the electoral event,Identificador de la disputa por un escaño dentro del evento electoral
chamber,STRING,Câmara do parlamento estadual à qual a disputa se refere,,yes,,,no,Assume os valores legislative_assembly e legislative_council. A Assembleia Legislativa é disputada por distrito de cadeira única; o Conselho Legislativo foi disputado por província de cadeira única até 2002 e por região de múltiplas cadeiras a partir de 2006.,,Chamber of the state parliament the contest refers to,Cámara del parlamento estatal a la que se refiere la disputa
government_level,STRING,Esfera de governo da disputa,,yes,,,no,"Assume o valor state. A coluna é definida por disputa, e não como constante do conjunto, para que as disputas de governo local, também administradas pela VEC e ainda não incluídas, possam ser acrescentadas a estas mesmas tabelas sem reestruturá-las.",,Level of government of the contest,Nivel de gobierno de la disputa
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, state_region e state_province.",,Type of seat contested,Tipo de escaño disputado
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential e single_transferable_vote. É definido por disputa: a Assembleia Legislativa e as províncias do Conselho Legislativo anteriores a 2006 usam voto preferencial obrigatório para uma única cadeira, e as regiões do Conselho Legislativo a partir de 2006 usam o voto único transferível.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
district_name,STRING,"Nome da disputa: distrito da Assembleia Legislativa, região ou província do Conselho Legislativo",,no,,,no,,,"Name of the contest: Legislative Assembly district, Legislative Council region or Legislative Council province","Nombre de la disputa: distrito de la Asamblea Legislativa, región o provincia del Consejo Legislativo"
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS para o distrito eleitoral estadual, cruzado por nome. Apenas os distritos da Assembleia Legislativa são cruzados, e somente onde a vintage 2021 ainda traz o nome do distrito; as fronteiras distritais de Victoria foram redivididas em 2001, 2013 e 2021, de modo que distritos de eleições anteriores frequentemente não têm correspondente na vintage 2021 e ficam nulos. Nulo em toda disputa do Conselho Legislativo.",,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
count_type,STRING,Tipo de apuração ao qual a linha se refere,,yes,,,no,"Assume os valores first_preference, two_candidate_preferred e two_party_preferred. Filtre sempre por esta coluna: as três são apurações distintas da mesma disputa, e não recortes redundantes.",,Type of count the row refers to,Tipo de escrutinio al que se refiere la fila
ballot_position,STRING,Posição da pessoa candidata na cédula,,no,,,no,"Número de ordem na cédula; aritmética sobre ele não tem sentido, por isso é publicado como texto.",,Position of the candidate on the ballot paper,Posición de la persona candidata en la boleta
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME, Prenomes"".",,Name of the candidate as printed on the ballot paper,Nombre de la persona candidata tal como aparece impreso en la boleta
party_name,STRING,Nome do partido da pessoa candidata,,no,,,no,,,Name of the candidate's party,Nombre del partido de la persona candidata
group_letter,STRING,Letra do grupo na cédula do Conselho Legislativo,,no,,,no,"Letra do grupo na cédula do Conselho Legislativo. Identifica o grupo, e portanto a linha de votos acima da linha, que não traz nome de candidatura. Nula nas disputas da Assembleia Legislativa.",,Group letter on the Legislative Council ballot paper,Letra del grupo en la boleta del Consejo Legislativo
votes,INT64,Votos apurados para a pessoa candidata,,no,,vote,no,,,Votes counted for the candidate,Votos escrutados para la persona candidata
percentage,FLOAT64,Votos da pessoa candidata como percentual do total apurado na disputa,,no,,percent,no,,,Votes for the candidate as a share of the total count in the contest,Votos de la persona candidata como porcentaje del total escrutado en la disputa
