name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados. Assume valores como state2002, state2022, prahran_by2025 e nepean_by2026.",,Identifier of the electoral event,Identificador del evento electoral
contest_id,STRING,Identificador da disputa por uma cadeira dentro do evento eleitoral,,no,,,no,"Identifica uma única disputa por cadeira dentro do evento eleitoral. É o slug do distrito, da região ou da província, como em state2022-albert_park.",,Identifier of the contest for a single seat within the electoral event,Identificador de la disputa por un escaño dentro del evento electoral
chamber,STRING,Câmara do parlamento estadual à qual a disputa se refere,,yes,,,no,Assume os valores legislative_assembly e legislative_council. A Assembleia Legislativa é disputada por distrito de cadeira única; o Conselho Legislativo foi disputado por província de cadeira única até 2002 e por região de múltiplas cadeiras a partir de 2006.,,Chamber of the state parliament the contest refers to,Cámara del parlamento estatal a la que se refiere la disputa
government_level,STRING,Esfera de governo da disputa,,yes,,,no,"Assume o valor state. A coluna é definida por disputa, e não como constante do conjunto, para que as disputas de governo local, também administradas pela VEC e ainda não incluídas, possam ser acrescentadas a estas mesmas tabelas sem reestruturá-las.",,Level of government of the contest,Nivel de gobierno de la disputa
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, state_region e state_province.",,Type of seat contested,Tipo de escaño disputado
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential e single_transferable_vote. É definido por disputa: a Assembleia Legislativa e as províncias do Conselho Legislativo anteriores a 2006 usam voto preferencial obrigatório para uma única cadeira, e as regiões do Conselho Legislativo a partir de 2006 usam o voto único transferível.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
district_name,STRING,"Nome da disputa: distrito da Assembleia Legislativa, região ou província do Conselho Legislativo",,no,,,no,,,"Name of the contest: Legislative Assembly district, Legislative Council region or Legislative Council province","Nombre de la disputa: distrito de la Asamblea Legislativa, región o provincia del Consejo Legislativo"
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS para o distrito eleitoral estadual, cruzado por nome. Apenas os distritos da Assembleia Legislativa são cruzados, e somente onde a vintage 2021 ainda traz o nome do distrito; as fronteiras distritais de Victoria foram redivididas em 2001, 2013 e 2021, de modo que distritos de eleições anteriores frequentemente não têm correspondente na vintage 2021 e ficam nulos. Nulo em toda disputa do Conselho Legislativo.",,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
count_number,STRING,Número da contagem dentro da distribuição de preferências,,no,,,no,Número de ordem; aritmética sobre ele não tem sentido.,,Number of the count within the distribution of preferences,Número del conteo dentro de la distribución de preferencias
count_description,STRING,Transferência ou exclusão realizada pela contagem,,no,,,no,,,Transfer or exclusion the count performs,Transferencia o exclusión que realiza el conteo
transfer_value,FLOAT64,Valor pelo qual cada cédula é transferida na contagem,,no,,ratio,no,,,Value at which each ballot paper is transferred in the count,Valor al que se transfiere cada boleta en el conteo
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME, Prenomes"".",,Name of the candidate as printed on the ballot paper,Nombre de la persona candidata tal como aparece impreso en la boleta
party_name,STRING,Nome do partido da pessoa candidata,,no,,,no,,,Name of the candidate's party,Nombre del partido de la persona candidata
ballot_papers_transferred,INT64,Número de cédulas transferidas para a pessoa candidata na contagem,,no,,ballot_paper,no,"Nas disputas da Assembleia Legislativa toda cédula é transferida ao valor um, de modo que cédulas e votos transferidos são iguais; eles divergem apenas nas apurações por voto único transferível do Conselho Legislativo, em que um excedente é transferido a valor fracionário.",,Number of ballot papers transferred to the candidate in the count,Número de boletas transferidas a la persona candidata en el conteo
votes_transferred,INT64,Votos transferidos para a pessoa candidata na contagem,,no,,vote,no,,,Votes transferred to the candidate in the count,Votos transferidos a la persona candidata en el conteo
votes_progressive_total,INT64,Total acumulado de votos da pessoa candidata ao fim da contagem,,no,,vote,no,,,Progressive total of votes for the candidate at the end of the count,Total acumulado de votos de la persona candidata al final del conteo
