name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de referência,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição. Cobertura de 2011 em diante; taxas de retenção terminam um ano antes das demais,Year,Reference year,Año de referencia
institution_id,STRING,Instituição de ensino superior à qual os dados se referem,,no,diretorios_au.higher_education_institution:id_higher_education_institution,,no,"NULO nas linhas de agregado nacional ou estadual, que a fonte publica em séries históricas mais longas do que o detalhamento por instituição. O valor 'non_university_higher_education_providers' e demais buckets agregados representam conjuntos de instituições, não instituições individuais",Institution,Higher education institution the data refer to,Institución de educación superior a la que se refieren los datos
state_abbreviation,STRING,Sigla do estado ou território da instituição,,no,,,no,"Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais MULTI para instituições multiestaduais. MULTI não possui correspondência no diretório, por isso a coluna não tem directory_column: o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the institution's state or territory,Sigla del estado o territorio de la institución
student_group,STRING,Recorte de estudantes a que os indicadores se referem,,no,,,no,Domestic students ou Domestic undergraduate students,,Student subset the indicators refer to,Subconjunto de estudiantes al que se refieren los indicadores
equity_group,STRING,Grupo de equidade ao qual a contagem se refere,,no,,,no,"Nome base do grupo, com a base de endereço extraída para coluna própria. Ao contrário da seção 11, a seção 16 não qualifica o grupo pela versão da classificação SEIFA ou ASGS, por isso esta tabela não traz equity_group_classification",,Equity group the count refers to,Grupo de equidad al que se refiere el recuento
address_basis,STRING,Endereço do estudante usado para classificar o grupo,,no,,,no,Term address (endereço durante o período letivo) ou First address (primeiro endereço registrado). A fonte publica as duas medidas em paralelo,,Student address used to classify the group,Dirección del estudiante usada para clasificar el grupo
equity_group_label,STRING,Rótulo do grupo de equidade exatamente como publicado pela fonte,,no,,,no,Preservado sem alteração para rastreabilidade; as duas colunas anteriores são derivadas deste rótulo,,Equity group label exactly as published by the source,Etiqueta del grupo de equidad exactamente como la publica la fuente
commencing_students,INT64,Número de estudantes ingressantes do grupo,,no,,person,no,,Table 16.1 / 16.2,Number of commencing students in the group,Número de estudiantes ingresantes del grupo
enrolments,INT64,Número de matrículas do grupo,,no,,person,no,,Table 16.5,Number of enrolments in the group,Número de matrículas del grupo
award_course_completions,INT64,Número de conclusões de curso do grupo,,no,,person,no,,Table 16.12,Number of award course completions in the group,Número de conclusiones de curso del grupo
access_rate,FLOAT64,Participação do grupo entre os ingressantes domésticos,,no,,percent,no,,Table 16.3 / 16.4,Share of the group among domestic commencing students,Participación del grupo entre los ingresantes domésticos
participation_rate,FLOAT64,Participação do grupo entre todos os estudantes domésticos,,no,,percent,no,,Table 16.6,Share of the group among all domestic students,Participación del grupo entre todos los estudiantes domésticos
participation_ratio,FLOAT64,Razão entre a taxa de participação do grupo e seu valor de referência populacional,,no,,unit,no,"Valor 1 indica participação proporcional à presença do grupo na população. O denominador, publicado na tabela 16.14 da fonte, não é lido: aquela tabela usa colunas qualificadas por recenseamento (2016 (2011 Census) ao lado de 2016 (2016 Census)) e não cabe nesta grade",Table 16.7,Ratio of the group's participation rate to its population reference value,Razón entre la tasa de participación del grupo y su valor de referencia poblacional
retention_rate,FLOAT64,Proporção de estudantes do grupo que permanecem matriculados no ano seguinte,,no,,percent,no,,Table 16.8,Share of students in the group who remain enrolled the following year,Proporción de estudiantes del grupo que siguen matriculados al año siguiente
retention_ratio,FLOAT64,Razão entre a taxa de retenção do grupo e a do total de estudantes domésticos,,no,,unit,no,,Table 16.9,Ratio of the group's retention rate to that of all domestic students,Razón entre la tasa de retención del grupo y la del total de estudiantes domésticos
success_rate,FLOAT64,Proporção da carga de estudo do grupo concluída com aprovação,,no,,percent,no,,Table 16.10,Share of the group's study load completed successfully,Proporción de la carga de estudio del grupo aprobada
success_ratio,FLOAT64,Razão entre a taxa de sucesso do grupo e a do total de estudantes domésticos,,no,,unit,no,,Table 16.11,Ratio of the group's success rate to that of all domestic students,Razón entre la tasa de éxito del grupo y la del total de estudiantes domésticos
attainment_rate,FLOAT64,Participação do grupo entre as conclusões de curso domésticas,,no,,percent,no,,Table 16.13,Share of the group among domestic award course completions,Participación del grupo entre las conclusiones de curso domésticas
