name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Cada evento eleitoral estadual ocupa um único ano.,
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",
contest_id,STRING,Identificador da disputa dentro do evento eleitoral,,no,,,no,"Formado pelo prefixo da câmara e pelo slug do distrito, por exemplo ha-adelaide para a Assembleia e lc-state para o Conselho Legislativo, que é uma única disputa estadual. É único dentro de cada evento eleitoral.",
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS, atribuído por cruzamento de nomes sem distinção de maiúsculas. Cobre 47 dos 47 distritos de 2022 e 46 dos 47 de 2026: Ngadjuri, criado na redistribuição que substituiu Frome, é posterior à vintage 2021 e fica nulo. Nula no Conselho Legislativo, que é uma circunscrição estadual única.",
chamber,STRING,Câmara do Parlamento da Austrália Meridional em disputa,,yes,,,no,"Assume os valores house_of_assembly e legislative_council. A Austrália Meridional é bicameral, portanto a câmara é uma coluna da disputa e nunca uma constante do conjunto.",
government_level,STRING,Esfera de governo da disputa,,yes,,,no,Assume o valor state em todas as linhas. As eleições de governo local são servidas pela mesma API e estão deliberadamente fora deste conjunto.,
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, uma cadeira por distrito na Assembleia, e state_at_large, a eleição estadual única de 11 cadeiras do Conselho Legislativo.",
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential, usado na Assembleia, e single_transferable_vote, usado no Conselho Legislativo com voto acima e abaixo da linha.",
district_name,STRING,"Nome da disputa: o distrito eleitoral estadual, ou State para o Conselho Legislativo",,no,,,no,"Nome do distrito na Assembleia; assume o valor State no Conselho Legislativo. Frome foi substituído por Ngadjuri entre 2022 e 2026, e é a única mudança de nome entre os dois pleitos gerais.",
enrolment,INT64,Número de pessoas inscritas na disputa,,no,,person,no,"Pessoas inscritas no distrito. No Conselho Legislativo é a soma dos 47 distritos, já que a circunscrição é o estado inteiro.",districtEnrolled
candidates_count,INT64,Número de candidaturas ou de grupos na disputa,,no,,candidate,no,,
votes_formal,INT64,Total de votos válidos apurados na disputa,,no,,vote,no,,
votes_informal,INT64,Total de votos inválidos apurados na disputa,,no,,vote,no,,
votes_total,INT64,Total de votos apurados na disputa,,no,,vote,no,,
percentage_informal,FLOAT64,Votos inválidos como percentual do total apurado,,no,,percent,no,,
percentage_roll_counted,FLOAT64,Votos apurados como percentual das pessoas inscritas,,no,,percent,no,,
polling_places_counted,INT64,Locais de votação apurados na disputa,,no,,voting centre,no,"Locais de votação apurados e locais de votação totais, publicados pela ECSA apenas para o Conselho Legislativo. Nulos na Assembleia.",pollingPlacesCounted
polling_places_total,INT64,Locais de votação da disputa,,no,,voting centre,no,,totalPollingPlaces
