name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano: em 2021 e em 2022 houve eleição da Casa de Assembleia ou eleição suplementar no mesmo ano das eleições periódicas do Conselho Legislativo.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados. Assume valores como hoa2025, lc2024 e lc2022pembroke.",,Identifier of the electoral event,Identificador del evento electoral
contest_id,STRING,Identificador da disputa por uma divisão dentro do evento eleitoral,,no,,,no,"Concatenação de election_id e do slug da divisão, como em hoa2025-bass. É único dentro do conjunto.",,Identifier of the contest for a single division within the electoral event,Identificador de la disputa por una división dentro del evento electoral
chamber,STRING,Câmara do parlamento da Tasmânia à qual a disputa se refere,,yes,,,no,"Assume os valores house_of_assembly e legislative_council. As duas câmaras usam sistemas eleitorais diferentes e divisões geográficas que se sobrepõem sem coincidir, por isso a coluna é definida por disputa.",,Chamber of the Tasmanian parliament the contest refers to,Cámara del parlamento de Tasmania a la que se refiere la disputa
government_level,STRING,Esfera de governo da disputa,,yes,,,no,"Assume o valor state. A coluna é definida por disputa, e não como constante do conjunto, para que as eleições de governo local, também administradas pela TEC e ainda não incluídas, possam ser acrescentadas a estas mesmas tabelas sem reestruturá-las.",,Level of government of the contest,Nivel de gobierno de la disputa
contest_type,STRING,Tipo de divisão disputada,,yes,,,no,Assume os valores house_of_assembly_division e legislative_council_division.,,Type of division contested,Tipo de división disputada
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores hare_clark e preferential. A Casa de Assembleia usa Hare-Clark, o voto único transferível em divisões de múltiplas cadeiras com rotação Robson; o Conselho Legislativo usa voto preferencial em divisões de cadeira única.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
district_name,STRING,Nome da divisão disputada,,no,,,no,"Divisão da Casa de Assembleia ou divisão do Conselho Legislativo. Denison é a mesma divisão que Clark: o nome mudou por emenda ao Constitution Act sancionada em 28 de setembro de 2018, depois da eleição de 2018 e antes da de 2021.",,Name of the division contested,Nombre de la división disputada
commonwealth_electoral_division_id,STRING,"Código da divisão eleitoral federal correspondente, no padrão ASGS 2021 do ABS",,no,diretorios_au.commonwealth_electoral_division_2021:id_commonwealth_electoral_division,,no,"As cinco divisões da Casa de Assembleia coincidem com as cinco divisões federais da Tasmânia, conforme a própria TEC: as divisões estaduais têm as mesmas fronteiras das divisões federais da Câmara dos Representantes. Denison, usada até 2018, corresponde a Clark. Nulo em toda disputa do Conselho Legislativo, cujas 15 divisões não têm correspondente federal.",,Australian Statistical Geography Standard 2021 code of the corresponding Commonwealth electoral division,"Código de la división electoral federal correspondiente, en el estándar ASGS 2021 del ABS"
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Nulo em todas as linhas. A camada state_electoral_division do ABS para a Tasmânia não é a de nenhuma das duas câmaras, e sim a interseção das duas, com 22 registros de nomes como Bass (Launceston) e Clark (Elwick): o ABS precisa de uma camada sem sobreposição e a Tasmânia tem dois sistemas que se sobrepõem. A coluna é mantida para compatibilidade com os demais estados, onde ela é preenchida; aqui o vínculo geográfico está em commonwealth_electoral_division_id.",,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
count_number,STRING,Número da contagem dentro da apuração da disputa,,no,,,no,"Número de ordem; aritmética sobre ele não tem sentido, por isso é publicado como texto. A folha de escrutínio da Casa de Assembleia agrupa contagens consecutivas de exclusão em intervalos, publicados como 4 to 6.",,Number of the count within the contest's scrutiny,Número del escrutinio dentro del recuento de la disputa
ballot_name,STRING,Nome da pessoa candidata tal como publicado pela TEC,,no,,,no,"Formato ""SOBRENOME, Prenomes"". A Casa de Assembleia usa rotação Robson, que embaralha a ordem das candidaturas em cada cédula, de modo que não existe posição na cédula a publicar.",,Name of the candidate as published by the TEC,Nombre de la persona candidata tal como lo publica la TEC
party_name,STRING,Nome do partido ou grupo da pessoa candidata,,no,,,no,"Reproduz o rótulo publicado pela TEC, incluindo Independent para candidaturas sem partido.",,Name of the candidate's party or group,Nombre del partido o grupo de la persona candidata
votes_transferred,INT64,Votos transferidos para a pessoa candidata na contagem,,no,,vote,no,Negativo na linha da pessoa candidata excluída ou eleita cujos votos estão sendo distribuídos.,,Votes transferred to the candidate at this count,Votos transferidos a la persona candidata en el escrutinio
votes_progressive_total,INT64,Total acumulado de votos da pessoa candidata ao fim da contagem,,no,,vote,no,,,Running total of votes for the candidate at the end of the count,Total acumulado de votos de la persona candidata al final del escrutinio
votes_exhausted,INT64,"Votos esgotados acumulados ao fim da contagem, sem preferência seguinte válida",,no,,vote,no,"Total da contagem, repetido em cada linha de pessoa candidata.",,"Votes exhausted in total at the end of the count, with no valid next preference","Votos agotados acumulados al final del escrutinio, sin preferencia siguiente válida"
remarks,STRING,Observação publicada pela TEC sobre o que ocorreu na contagem,,no,,,no,"Texto livre da fonte, como PETERSEN excluded ou GLADE-WRIGHT elected. Total da contagem, repetido em cada linha de pessoa candidata.",,Remark published by the TEC on what happened at this count,Observación publicada por la TEC sobre lo ocurrido en el escrutinio
