name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Cada evento eleitoral estadual ocupa um único ano.,
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",
contest_id,STRING,Identificador da disputa dentro do evento eleitoral,,no,,,no,"Formado pelo prefixo da câmara e pelo slug do distrito, por exemplo ha-adelaide para a Assembleia e lc-state para o Conselho Legislativo, que é uma única disputa estadual. É único dentro de cada evento eleitoral.",
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS, atribuído por cruzamento de nomes sem distinção de maiúsculas. Cobre 47 dos 47 distritos de 2022 e 46 dos 47 de 2026: Ngadjuri, criado na redistribuição que substituiu Frome, é posterior à vintage 2021 e fica nulo. Nula no Conselho Legislativo, que é uma circunscrição estadual única.",
chamber,STRING,Câmara do Parlamento da Austrália Meridional em disputa,,yes,,,no,"Assume os valores house_of_assembly e legislative_council. A Austrália Meridional é bicameral, portanto a câmara é uma coluna da disputa e nunca uma constante do conjunto.",
government_level,STRING,Esfera de governo da disputa,,yes,,,no,Assume o valor state em todas as linhas. As eleições de governo local são servidas pela mesma API e estão deliberadamente fora deste conjunto.,
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, uma cadeira por distrito na Assembleia, e state_at_large, a eleição estadual única de 11 cadeiras do Conselho Legislativo.",
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential, usado na Assembleia, e single_transferable_vote, usado no Conselho Legislativo com voto acima e abaixo da linha.",
district_name,STRING,"Nome da disputa: o distrito eleitoral estadual, ou State para o Conselho Legislativo",,no,,,no,"Nome do distrito na Assembleia; assume o valor State no Conselho Legislativo. Frome foi substituído por Ngadjuri entre 2022 e 2026, e é a única mudança de nome entre os dois pleitos gerais.",
voting_centre_district_name,STRING,Nome do distrito onde o local de votação foi apurado,,no,,,no,"Distrito onde os votos foram apurados, e não a disputa. O Conselho Legislativo é uma disputa estadual única, mas as cédulas são apuradas distrito a distrito, portanto contest_id assume lc-state enquanto esta coluna nomeia o distrito do local.",
voting_centre_name,STRING,Nome do local de votação ou do tipo de voto por declaração,,no,,,no,"Nome do local de votação. Nos blocos de voto por declaração e por ausência de 2026 o campo traz o rótulo do tipo de declaração, como Postal - Declaration 1, e não um local físico.",pollingPlaceName
voting_centre_type,STRING,Tipo do local de votação tal como publicado pela ECSA,,no,,,no,"Código do tipo de local de votação. O vocabulário muda entre os pleitos: apenas Polling Booth é comum a 2022 e 2026, e a ECSA não publica correspondência entre os rótulos e os códigos curtos que usa em 2026.",pollingPlaceType
count_type,STRING,Tipo de apuração ao qual os votos se referem,,yes,,,no,"Mantém a tabela longa. Assume first_preference, two_candidate_preferred e two_party_preferred. A preferência entre dois partidos falta em 26 dos 47 distritos de 2026, onde a fonte grava zero em todos os locais; em 2022 está presente nos 47.",
contestant_id,STRING,Identificador da candidatura ou do grupo dentro da disputa,,no,,,no,"Identificador da candidatura ou do grupo dentro da disputa, tal como a ECSA o publica: a posição na cédula na Assembleia e o identificador do partido ou grupo no Conselho Legislativo. É a única chave presente nas duas câmaras, já que a posição na cédula é nula no Conselho e a letra do grupo é nula na Assembleia e em todo o Conselho de 2022.",
ballot_order_number,STRING,Posição da pessoa candidata na cédula,,no,,,no,"Posição da pessoa candidata na cédula do distrito, publicada pela ECSA no campo candidateId. Aritmética sobre ela não tem sentido, por isso é publicada como texto. Nula nas linhas do Conselho Legislativo, cujo grão é o grupo da cédula.",candidateId
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME, Prenomes"", como publicado no arquivo de candidaturas. A própria ECSA publica o mesmo nome como ""Prenomes SOBRENOME"" nos blocos de distribuição e de declaração; ambos são normalizados para este formato.",candidateName
party_code,STRING,Sigla do partido da pessoa candidata ou do grupo,,no,,,no,"Sigla do partido. Em parte dos blocos de voto por declaração de 2026 a fonte grava a sigla no campo de nome do partido; o cruzamento é feito pela posição na cédula, não pelo texto.",partyId
party_name,STRING,Nome registrado do partido da pessoa candidata ou do grupo,,no,,,no,,partyName
group_code,STRING,Letra do grupo na cédula do Conselho Legislativo,,no,,,no,"Letra da coluna do grupo na cédula do Conselho Legislativo. Nula na Assembleia. Publicada apenas de 2026 em diante: em 2022 a API do Conselho traz somente totais por partido, sem letra de grupo.",groupId
group_name,STRING,Nome do grupo impresso na cédula do Conselho Legislativo,,no,,,no,"No Conselho Legislativo os votos são publicados por grupo da cédula, e os grupos não esgotam o total válido: em 2022 a soma dos 20 grupos fica 63 votos abaixo do total publicado, diferença que corresponde a candidaturas sem grupo. Em 2026 a soma fecha exatamente.",groupName
votes,INT64,Votos atribuídos à candidatura ou ao grupo no local de votação,,no,,vote,no,,
votes_formal,INT64,Total de votos válidos no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha de candidatura ou de grupo.",
votes_informal,INT64,Total de votos inválidos no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha de candidatura ou de grupo.",informalVotes
