table,name,description_en,description_es
general,year,Program year the record refers to,Año del programa al que se refiere el registro
general,record_id,System-assigned unique identifier of the payment record,Identificador único del registro de pago asignado por el sistema Open Payments
general,covered_recipient_profile_id,Unique identifier of the covered recipient physician or non-physician practitioner profile,Identificador único del perfil del médico o profesional no médico que recibió el pago
general,covered_recipient_npi,National Provider Identifier (NPI) of the covered recipient physician or non-physician practitioner,National Provider Identifier (NPI) del médico o profesional no médico
general,teaching_hospital_ccn,CMS Certification Number (CCN) of the teaching hospital,CMS Certification Number (CCN) del hospital universitario
general,teaching_hospital_id,System-assigned unique identifier of the teaching hospital,Identificador único del hospital universitario asignado por el sistema Open Payments
general,reporting_entity_id,Unique identifier of the applicable manufacturer or GPO that reported the payment,Identificador único del fabricante o GPO que declaró el pago
general,change_type,"Indicates whether the record is new, added, changed or unchanged relative to the previous publication","Indica si el registro es nuevo, añadido, modificado o sin cambios respecto a la publicación anterior"
general,covered_recipient_type,"Type of recipient: physician, non-physician practitioner, teaching hospital or non-covered entity","Tipo de beneficiario: médico, profesional no médico, hospital universitario o entidad no cubierta"
general,teaching_hospital_name,"Name of the teaching hospital, as listed in the CMS teaching hospital list","Nombre del hospital universitario, según la lista de hospitales universitarios del CMS"
general,covered_recipient_first_name,"First name of the covered recipient, as reported by the submitting entity","Primer nombre del beneficiario, según lo declarado por la entidad declarante"
general,covered_recipient_middle_name,"Middle name of the covered recipient, as reported by the submitting entity","Segundo nombre del beneficiario, según lo declarado por la entidad declarante"
general,covered_recipient_last_name,"Last name of the covered recipient, as reported by the submitting entity","Apellido del beneficiario, según lo declarado por la entidad declarante"
general,covered_recipient_name_suffix,"Name suffix of the covered recipient, as reported by the submitting entity","Sufijo del nombre del beneficiario, según lo declarado por la entidad declarante"
general,recipient_address_line_1,First line of the primary business street address of the covered recipient,Primera línea de la dirección comercial principal del beneficiario
general,recipient_address_line_2,Second line of the primary business street address of the covered recipient,Segunda línea de la dirección comercial principal del beneficiario
general,recipient_city,City of the primary business address of the covered recipient,Ciudad de la dirección comercial principal del beneficiario
general,recipient_state,"Two-letter state abbreviation of the covered recipient primary business address, when in the United States","Sigla de dos letras del estado de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
general,recipient_zip_code,"Nine-digit ZIP code of the covered recipient primary business address, when in the United States","Código postal de nueve dígitos de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
general,recipient_country,Country of the primary business address of the covered recipient,País de la dirección comercial principal del beneficiario
general,recipient_province,"Province of the covered recipient primary business address, when outside the United States","Provincia de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
general,recipient_postal_code,"Postal code of the covered recipient primary business address, when outside the United States","Código postal de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
general,covered_recipient_primary_type_1,"Primary type of medicine practiced by the covered recipient, type 1 of 6","Tipo principal de práctica del beneficiario, tipo 1 de 6"
general,covered_recipient_primary_type_2,"Primary type of medicine practiced by the covered recipient, type 2 of 6","Tipo principal de práctica del beneficiario, tipo 2 de 6"
general,covered_recipient_primary_type_3,"Primary type of medicine practiced by the covered recipient, type 3 of 6","Tipo principal de práctica del beneficiario, tipo 3 de 6"
